ts,value,round,scenario,metric
1776871947.597,0.0023582314610342,round_a_mw2_2,1. Linear Ramp,cpu_util
1776871962.597,0.2730971696412478,round_a_mw2_2,1. Linear Ramp,cpu_util
1776871977.597,0.8041363061086729,round_a_mw2_2,1. Linear Ramp,cpu_util
1776871992.597,1.0002033225192952,round_a_mw2_2,1. Linear Ramp,cpu_util
1776872007.597,0.734406742938676,round_a_mw2_2,1. Linear Ramp,cpu_util
1776872022.597,0.9983674670309473,round_a_mw2_2,1. Linear Ramp,cpu_util
1776872037.597,0.7506428503828217,round_a_mw2_2,1. Linear Ramp,cpu_util
1776872052.597,1.0006910361842118,round_a_mw2_2,1. Linear Ramp,cpu_util
1776872067.597,0.9997068419199638,round_a_mw2_2,1. Linear Ramp,cpu_util
1776872082.597,0.5310647356784952,round_a_mw2_2,1. Linear Ramp,cpu_util
1776872097.597,0.6854230280060293,round_a_mw2_2,1. Linear Ramp,cpu_util
1776872112.597,0.5001690991745428,round_a_mw2_2,1. Linear Ramp,cpu_util
1776872127.597,0.8185274253715664,round_a_mw2_2,1. Linear Ramp,cpu_util
1776872142.597,0.9992616931069014,round_a_mw2_2,1. Linear Ramp,cpu_util
1776872157.597,0.8611028133431485,round_a_mw2_2,1. Linear Ramp,cpu_util
1776872172.597,0.4993909974792942,round_a_mw2_2,1. Linear Ramp,cpu_util
1776872187.597,0.4998319863134916,round_a_mw2_2,1. Linear Ramp,cpu_util
1776872202.597,0.4472942807785658,round_a_mw2_2,1. Linear Ramp,cpu_util
1776872217.597,0.5005765278974769,round_a_mw2_2,1. Linear Ramp,cpu_util
1776872232.597,0.5003375940267498,round_a_mw2_2,1. Linear Ramp,cpu_util
1776872247.597,0.5007531146888247,round_a_mw2_2,1. Linear Ramp,cpu_util
1776872262.597,0.4229273520408856,round_a_mw2_2,1. Linear Ramp,cpu_util
1776872277.597,0.3234656195884814,round_a_mw2_2,1. Linear Ramp,cpu_util
1776872292.597,0.5013237487758888,round_a_mw2_2,1. Linear Ramp,cpu_util
1776872307.597,0.5004705297606781,round_a_mw2_2,1. Linear Ramp,cpu_util
1776872322.597,0.5005236437535391,round_a_mw2_2,1. Linear Ramp,cpu_util
1776872337.597,0.2504978980756155,round_a_mw2_2,1. Linear Ramp,cpu_util
1776872352.597,0.2510151890331107,round_a_mw2_2,1. Linear Ramp,cpu_util
1776872367.597,0.5009484386398529,round_a_mw2_2,1. Linear Ramp,cpu_util
1776872382.597,0.5008379647286938,round_a_mw2_2,1. Linear Ramp,cpu_util
1776872397.597,0.5009174001814024,round_a_mw2_2,1. Linear Ramp,cpu_util
1776872412.597,0.5008940792060252,round_a_mw2_2,1. Linear Ramp,cpu_util
1776872427.597,0.5007226774055786,round_a_mw2_2,1. Linear Ramp,cpu_util
1776872442.597,0.244518659579965,round_a_mw2_2,1. Linear Ramp,cpu_util
1776872457.597,0.1958706248542072,round_a_mw2_2,1. Linear Ramp,cpu_util
1776872472.597,0.2503784750326029,round_a_mw2_2,1. Linear Ramp,cpu_util
1776872487.597,0.3397170720107471,round_a_mw2_2,1. Linear Ramp,cpu_util
1776872502.597,0.3706756820574393,round_a_mw2_2,1. Linear Ramp,cpu_util
1776872517.597,0.3347881796056495,round_a_mw2_2,1. Linear Ramp,cpu_util
1776872532.597,0.3026165705919311,round_a_mw2_2,1. Linear Ramp,cpu_util
1776872547.597,0.2465124467892591,round_a_mw2_2,1. Linear Ramp,cpu_util
1776872562.597,0.0777659692911271,round_a_mw2_2,1. Linear Ramp,cpu_util
1776872577.597,0.0014408210325096,round_a_mw2_2,1. Linear Ramp,cpu_util
