ts,value,round,scenario,metric
1776871917.597,1,round_a_mw2_2,1. Linear Ramp,replicas
1776871932.597,1,round_a_mw2_2,1. Linear Ramp,replicas
1776871947.597,1,round_a_mw2_2,1. Linear Ramp,replicas
1776871962.597,1,round_a_mw2_2,1. Linear Ramp,replicas
1776871977.597,1,round_a_mw2_2,1. Linear Ramp,replicas
1776871992.597,1,round_a_mw2_2,1. Linear Ramp,replicas
1776872007.597,1,round_a_mw2_2,1. Linear Ramp,replicas
1776872022.597,1,round_a_mw2_2,1. Linear Ramp,replicas
1776872037.597,1,round_a_mw2_2,1. Linear Ramp,replicas
1776872052.597,1,round_a_mw2_2,1. Linear Ramp,replicas
1776872067.597,1,round_a_mw2_2,1. Linear Ramp,replicas
1776872082.597,2,round_a_mw2_2,1. Linear Ramp,replicas
1776872097.597,2,round_a_mw2_2,1. Linear Ramp,replicas
1776872112.597,2,round_a_mw2_2,1. Linear Ramp,replicas
1776872127.597,2,round_a_mw2_2,1. Linear Ramp,replicas
1776872142.597,2,round_a_mw2_2,1. Linear Ramp,replicas
1776872157.597,2,round_a_mw2_2,1. Linear Ramp,replicas
1776872172.597,2,round_a_mw2_2,1. Linear Ramp,replicas
1776872187.597,2,round_a_mw2_2,1. Linear Ramp,replicas
1776872202.597,4,round_a_mw2_2,1. Linear Ramp,replicas
1776872217.597,4,round_a_mw2_2,1. Linear Ramp,replicas
1776872232.597,4,round_a_mw2_2,1. Linear Ramp,replicas
1776872247.597,4,round_a_mw2_2,1. Linear Ramp,replicas
1776872262.597,4,round_a_mw2_2,1. Linear Ramp,replicas
1776872277.597,4,round_a_mw2_2,1. Linear Ramp,replicas
1776872292.597,4,round_a_mw2_2,1. Linear Ramp,replicas
1776872307.597,4,round_a_mw2_2,1. Linear Ramp,replicas
1776872322.597,4,round_a_mw2_2,1. Linear Ramp,replicas
1776872337.597,4,round_a_mw2_2,1. Linear Ramp,replicas
1776872352.597,4,round_a_mw2_2,1. Linear Ramp,replicas
1776872367.597,4,round_a_mw2_2,1. Linear Ramp,replicas
1776872382.597,4,round_a_mw2_2,1. Linear Ramp,replicas
1776872397.597,4,round_a_mw2_2,1. Linear Ramp,replicas
1776872412.597,4,round_a_mw2_2,1. Linear Ramp,replicas
1776872427.597,4,round_a_mw2_2,1. Linear Ramp,replicas
1776872442.597,4,round_a_mw2_2,1. Linear Ramp,replicas
1776872457.597,4,round_a_mw2_2,1. Linear Ramp,replicas
1776872472.597,4,round_a_mw2_2,1. Linear Ramp,replicas
1776872487.597,4,round_a_mw2_2,1. Linear Ramp,replicas
1776872502.597,4,round_a_mw2_2,1. Linear Ramp,replicas
1776872517.597,4,round_a_mw2_2,1. Linear Ramp,replicas
1776872532.597,4,round_a_mw2_2,1. Linear Ramp,replicas
1776872547.597,4,round_a_mw2_2,1. Linear Ramp,replicas
1776872562.597,3,round_a_mw2_2,1. Linear Ramp,replicas
1776872577.597,3,round_a_mw2_2,1. Linear Ramp,replicas
