ts,value,round,scenario,metric
1776874737.597,0.0024428696303846,round_a_mw2_2,4. Multi Spike,cpu_util
1776874752.597,0.0022128194162285,round_a_mw2_2,4. Multi Spike,cpu_util
1776874767.597,0.0017426362849339,round_a_mw2_2,4. Multi Spike,cpu_util
1776874782.597,0.2489306551889007,round_a_mw2_2,4. Multi Spike,cpu_util
1776874797.597,0.9557561308710985,round_a_mw2_2,4. Multi Spike,cpu_util
1776874812.597,0.9592313136262204,round_a_mw2_2,4. Multi Spike,cpu_util
1776874827.597,0.9592902642477842,round_a_mw2_2,4. Multi Spike,cpu_util
1776874842.597,0.9888473815744604,round_a_mw2_2,4. Multi Spike,cpu_util
1776874857.597,0.7063595647324169,round_a_mw2_2,4. Multi Spike,cpu_util
1776874872.597,0.4820077217992314,round_a_mw2_2,4. Multi Spike,cpu_util
1776874887.597,0.0005919392990094,round_a_mw2_2,4. Multi Spike,cpu_util
1776874902.597,0.0010328735724626,round_a_mw2_2,4. Multi Spike,cpu_util
1776874917.597,0.4761504719369468,round_a_mw2_2,4. Multi Spike,cpu_util
1776874932.597,0.6595988650805524,round_a_mw2_2,4. Multi Spike,cpu_util
1776874947.597,0.747841857346903,round_a_mw2_2,4. Multi Spike,cpu_util
1776874962.597,0.7538001245565558,round_a_mw2_2,4. Multi Spike,cpu_util
1776874977.597,0.5311007273494379,round_a_mw2_2,4. Multi Spike,cpu_util
1776874992.597,0.1628200918995034,round_a_mw2_2,4. Multi Spike,cpu_util
1776875007.597,0.248253321575196,round_a_mw2_2,4. Multi Spike,cpu_util
1776875022.597,0.9228224098034776,round_a_mw2_2,4. Multi Spike,cpu_util
1776875037.597,0.6563814690802242,round_a_mw2_2,4. Multi Spike,cpu_util
1776875052.597,0.3095812780108679,round_a_mw2_2,4. Multi Spike,cpu_util
1776875067.597,0.3571651297753204,round_a_mw2_2,4. Multi Spike,cpu_util
1776875082.597,0.3608630606304731,round_a_mw2_2,4. Multi Spike,cpu_util
1776875097.597,0.3614414041869868,round_a_mw2_2,4. Multi Spike,cpu_util
1776875112.597,0.652927380459304,round_a_mw2_2,4. Multi Spike,cpu_util
1776875127.597,0.666377926418253,round_a_mw2_2,4. Multi Spike,cpu_util
1776875142.597,0.6538307615096765,round_a_mw2_2,4. Multi Spike,cpu_util
1776875157.597,0.2155166810250096,round_a_mw2_2,4. Multi Spike,cpu_util
1776875172.597,0.1834655954926794,round_a_mw2_2,4. Multi Spike,cpu_util
1776875187.597,0.2925764835506025,round_a_mw2_2,4. Multi Spike,cpu_util
1776875202.597,0.7927663369613891,round_a_mw2_2,4. Multi Spike,cpu_util
1776875217.597,0.416523911671233,round_a_mw2_2,4. Multi Spike,cpu_util
1776875232.597,0.0260627623477025,round_a_mw2_2,4. Multi Spike,cpu_util
1776875247.597,0.0273749997729623,round_a_mw2_2,4. Multi Spike,cpu_util
1776875262.597,0.1785051431102435,round_a_mw2_2,4. Multi Spike,cpu_util
1776875277.597,0.7324195627629548,round_a_mw2_2,4. Multi Spike,cpu_util
1776875292.597,0.7204319356699649,round_a_mw2_2,4. Multi Spike,cpu_util
1776875307.597,0.212698819079705,round_a_mw2_2,4. Multi Spike,cpu_util
1776875322.597,0.1913407154641103,round_a_mw2_2,4. Multi Spike,cpu_util
1776875337.597,0.2259862783365817,round_a_mw2_2,4. Multi Spike,cpu_util
1776875352.597,0.5951527622504986,round_a_mw2_2,4. Multi Spike,cpu_util
1776875367.597,0.6787302728021691,round_a_mw2_2,4. Multi Spike,cpu_util
1776875382.597,0.0670693394110563,round_a_mw2_2,4. Multi Spike,cpu_util
1776875397.597,0.0016635553654663,round_a_mw2_2,4. Multi Spike,cpu_util
