ts,value,round,scenario,metric
1776874737.597,1,round_a_mw2_2,4. Multi Spike,replicas
1776874752.597,1,round_a_mw2_2,4. Multi Spike,replicas
1776874767.597,1,round_a_mw2_2,4. Multi Spike,replicas
1776874782.597,1,round_a_mw2_2,4. Multi Spike,replicas
1776874797.597,1,round_a_mw2_2,4. Multi Spike,replicas
1776874812.597,1,round_a_mw2_2,4. Multi Spike,replicas
1776874827.597,1,round_a_mw2_2,4. Multi Spike,replicas
1776874842.597,1,round_a_mw2_2,4. Multi Spike,replicas
1776874857.597,1,round_a_mw2_2,4. Multi Spike,replicas
1776874872.597,1,round_a_mw2_2,4. Multi Spike,replicas
1776874887.597,1,round_a_mw2_2,4. Multi Spike,replicas
1776874902.597,2,round_a_mw2_2,4. Multi Spike,replicas
1776874917.597,2,round_a_mw2_2,4. Multi Spike,replicas
1776874932.597,2,round_a_mw2_2,4. Multi Spike,replicas
1776874947.597,2,round_a_mw2_2,4. Multi Spike,replicas
1776874962.597,2,round_a_mw2_2,4. Multi Spike,replicas
1776874977.597,2,round_a_mw2_2,4. Multi Spike,replicas
1776874992.597,2,round_a_mw2_2,4. Multi Spike,replicas
1776875007.597,2,round_a_mw2_2,4. Multi Spike,replicas
1776875022.597,3,round_a_mw2_2,4. Multi Spike,replicas
1776875037.597,3,round_a_mw2_2,4. Multi Spike,replicas
1776875052.597,3,round_a_mw2_2,4. Multi Spike,replicas
1776875067.597,3,round_a_mw2_2,4. Multi Spike,replicas
1776875082.597,3,round_a_mw2_2,4. Multi Spike,replicas
1776875097.597,3,round_a_mw2_2,4. Multi Spike,replicas
1776875112.597,3,round_a_mw2_2,4. Multi Spike,replicas
1776875127.597,3,round_a_mw2_2,4. Multi Spike,replicas
1776875142.597,3,round_a_mw2_2,4. Multi Spike,replicas
1776875157.597,3,round_a_mw2_2,4. Multi Spike,replicas
1776875172.597,3,round_a_mw2_2,4. Multi Spike,replicas
1776875187.597,3,round_a_mw2_2,4. Multi Spike,replicas
1776875202.597,5,round_a_mw2_2,4. Multi Spike,replicas
1776875217.597,5,round_a_mw2_2,4. Multi Spike,replicas
1776875232.597,5,round_a_mw2_2,4. Multi Spike,replicas
1776875247.597,5,round_a_mw2_2,4. Multi Spike,replicas
1776875262.597,5,round_a_mw2_2,4. Multi Spike,replicas
1776875277.597,5,round_a_mw2_2,4. Multi Spike,replicas
1776875292.597,5,round_a_mw2_2,4. Multi Spike,replicas
1776875307.597,5,round_a_mw2_2,4. Multi Spike,replicas
1776875322.597,5,round_a_mw2_2,4. Multi Spike,replicas
1776875337.597,5,round_a_mw2_2,4. Multi Spike,replicas
1776875352.597,5,round_a_mw2_2,4. Multi Spike,replicas
1776875367.597,5,round_a_mw2_2,4. Multi Spike,replicas
1776875382.597,5,round_a_mw2_2,4. Multi Spike,replicas
1776875397.597,5,round_a_mw2_2,4. Multi Spike,replicas
