ts,value,round,scenario,metric
1776957709.628,1,round_a_mw2_3,2. Step Function,replicas
1776957724.628,1,round_a_mw2_3,2. Step Function,replicas
1776957739.628,1,round_a_mw2_3,2. Step Function,replicas
1776957754.628,1,round_a_mw2_3,2. Step Function,replicas
1776957769.628,1,round_a_mw2_3,2. Step Function,replicas
1776957784.628,1,round_a_mw2_3,2. Step Function,replicas
1776957799.628,1,round_a_mw2_3,2. Step Function,replicas
1776957814.628,1,round_a_mw2_3,2. Step Function,replicas
1776957829.628,1,round_a_mw2_3,2. Step Function,replicas
1776957844.628,1,round_a_mw2_3,2. Step Function,replicas
1776957859.628,1,round_a_mw2_3,2. Step Function,replicas
1776957874.628,1,round_a_mw2_3,2. Step Function,replicas
1776957889.628,1,round_a_mw2_3,2. Step Function,replicas
1776957904.628,1,round_a_mw2_3,2. Step Function,replicas
1776957919.628,1,round_a_mw2_3,2. Step Function,replicas
1776957934.628,2,round_a_mw2_3,2. Step Function,replicas
1776957949.628,2,round_a_mw2_3,2. Step Function,replicas
1776957964.628,2,round_a_mw2_3,2. Step Function,replicas
1776957979.628,2,round_a_mw2_3,2. Step Function,replicas
1776957994.628,2,round_a_mw2_3,2. Step Function,replicas
1776958009.628,2,round_a_mw2_3,2. Step Function,replicas
1776958024.628,2,round_a_mw2_3,2. Step Function,replicas
1776958039.628,2,round_a_mw2_3,2. Step Function,replicas
1776958054.628,2,round_a_mw2_3,2. Step Function,replicas
1776958069.628,2,round_a_mw2_3,2. Step Function,replicas
1776958084.628,2,round_a_mw2_3,2. Step Function,replicas
1776958099.628,2,round_a_mw2_3,2. Step Function,replicas
1776958114.628,3,round_a_mw2_3,2. Step Function,replicas
1776958129.628,3,round_a_mw2_3,2. Step Function,replicas
1776958144.628,3,round_a_mw2_3,2. Step Function,replicas
1776958159.628,3,round_a_mw2_3,2. Step Function,replicas
1776958174.628,5,round_a_mw2_3,2. Step Function,replicas
1776958189.628,5,round_a_mw2_3,2. Step Function,replicas
1776958204.628,5,round_a_mw2_3,2. Step Function,replicas
1776958219.628,5,round_a_mw2_3,2. Step Function,replicas
1776958234.628,5,round_a_mw2_3,2. Step Function,replicas
1776958249.628,5,round_a_mw2_3,2. Step Function,replicas
1776958264.628,5,round_a_mw2_3,2. Step Function,replicas
1776958279.628,5,round_a_mw2_3,2. Step Function,replicas
1776958294.628,4,round_a_mw2_3,2. Step Function,replicas
1776958309.628,4,round_a_mw2_3,2. Step Function,replicas
1776958324.628,4,round_a_mw2_3,2. Step Function,replicas
1776958339.628,4,round_a_mw2_3,2. Step Function,replicas
1776958354.628,2,round_a_mw2_3,2. Step Function,replicas
1776958369.628,2,round_a_mw2_3,2. Step Function,replicas
