ts,value,round,scenario,metric
1776969532.179,1,round_a_mw2_4,3. Sine Wave,replicas
1776969547.179,1,round_a_mw2_4,3. Sine Wave,replicas
1776969562.179,1,round_a_mw2_4,3. Sine Wave,replicas
1776969577.179,1,round_a_mw2_4,3. Sine Wave,replicas
1776969592.179,1,round_a_mw2_4,3. Sine Wave,replicas
1776969607.179,1,round_a_mw2_4,3. Sine Wave,replicas
1776969622.179,1,round_a_mw2_4,3. Sine Wave,replicas
1776969637.179,1,round_a_mw2_4,3. Sine Wave,replicas
1776969652.179,1,round_a_mw2_4,3. Sine Wave,replicas
1776969667.179,1,round_a_mw2_4,3. Sine Wave,replicas
1776969682.179,1,round_a_mw2_4,3. Sine Wave,replicas
1776969697.179,3,round_a_mw2_4,3. Sine Wave,replicas
1776969712.179,3,round_a_mw2_4,3. Sine Wave,replicas
1776969727.179,3,round_a_mw2_4,3. Sine Wave,replicas
1776969742.179,3,round_a_mw2_4,3. Sine Wave,replicas
1776969757.179,3,round_a_mw2_4,3. Sine Wave,replicas
1776969772.179,3,round_a_mw2_4,3. Sine Wave,replicas
1776969787.179,3,round_a_mw2_4,3. Sine Wave,replicas
1776969802.179,3,round_a_mw2_4,3. Sine Wave,replicas
1776969817.179,5,round_a_mw2_4,3. Sine Wave,replicas
1776969832.179,5,round_a_mw2_4,3. Sine Wave,replicas
1776969847.179,5,round_a_mw2_4,3. Sine Wave,replicas
1776969862.179,5,round_a_mw2_4,3. Sine Wave,replicas
1776969877.179,6,round_a_mw2_4,3. Sine Wave,replicas
1776969892.179,6,round_a_mw2_4,3. Sine Wave,replicas
1776969907.179,6,round_a_mw2_4,3. Sine Wave,replicas
1776969922.179,6,round_a_mw2_4,3. Sine Wave,replicas
1776969937.179,7,round_a_mw2_4,3. Sine Wave,replicas
1776969952.179,7,round_a_mw2_4,3. Sine Wave,replicas
1776969967.179,7,round_a_mw2_4,3. Sine Wave,replicas
1776969982.179,7,round_a_mw2_4,3. Sine Wave,replicas
1776969997.179,7,round_a_mw2_4,3. Sine Wave,replicas
1776970012.179,7,round_a_mw2_4,3. Sine Wave,replicas
1776970027.179,7,round_a_mw2_4,3. Sine Wave,replicas
1776970042.179,7,round_a_mw2_4,3. Sine Wave,replicas
1776970057.179,13,round_a_mw2_4,3. Sine Wave,replicas
1776970072.179,13,round_a_mw2_4,3. Sine Wave,replicas
1776970087.179,13,round_a_mw2_4,3. Sine Wave,replicas
1776970102.179,13,round_a_mw2_4,3. Sine Wave,replicas
1776970117.179,13,round_a_mw2_4,3. Sine Wave,replicas
1776970132.179,13,round_a_mw2_4,3. Sine Wave,replicas
1776970147.179,13,round_a_mw2_4,3. Sine Wave,replicas
1776970162.179,13,round_a_mw2_4,3. Sine Wave,replicas
1776970177.179,10,round_a_mw2_4,3. Sine Wave,replicas
1776970192.179,10,round_a_mw2_4,3. Sine Wave,replicas
1776970207.179,9,round_a_mw2_4,3. Sine Wave,replicas
1776970222.179,9,round_a_mw2_4,3. Sine Wave,replicas
1776970237.179,15,round_a_mw2_4,3. Sine Wave,replicas
1776970252.179,15,round_a_mw2_4,3. Sine Wave,replicas
1776970267.179,15,round_a_mw2_4,3. Sine Wave,replicas
1776970282.179,15,round_a_mw2_4,3. Sine Wave,replicas
1776970297.179,15,round_a_mw2_4,3. Sine Wave,replicas
1776970312.179,15,round_a_mw2_4,3. Sine Wave,replicas
