ts,value,round,scenario,metric
1776971452.179,0.0021321750979648,round_a_mw2_4,5. Random Walk,cpu_util
1776971497.179,0.2138738598599921,round_a_mw2_4,5. Random Walk,cpu_util
1776971512.179,0.9994913900093176,round_a_mw2_4,5. Random Walk,cpu_util
1776971527.179,1.0001445797734183,round_a_mw2_4,5. Random Walk,cpu_util
1776971542.179,1.0001554444516547,round_a_mw2_4,5. Random Walk,cpu_util
1776971557.179,0.9995793491082972,round_a_mw2_4,5. Random Walk,cpu_util
1776971572.179,0.9974212287321192,round_a_mw2_4,5. Random Walk,cpu_util
1776971587.179,0.3334484068985588,round_a_mw2_4,5. Random Walk,cpu_util
1776971602.179,0.3343085306781286,round_a_mw2_4,5. Random Walk,cpu_util
1776971617.179,0.3703211123082217,round_a_mw2_4,5. Random Walk,cpu_util
1776971632.179,0.5790176540978978,round_a_mw2_4,5. Random Walk,cpu_util
1776971647.179,0.456592914863523,round_a_mw2_4,5. Random Walk,cpu_util
1776971662.179,0.4256187735676005,round_a_mw2_4,5. Random Walk,cpu_util
1776971677.179,0.575794419343033,round_a_mw2_4,5. Random Walk,cpu_util
1776971692.179,0.8102025501198589,round_a_mw2_4,5. Random Walk,cpu_util
1776971707.179,0.3338051926352141,round_a_mw2_4,5. Random Walk,cpu_util
1776971722.179,0.4176616913249922,round_a_mw2_4,5. Random Walk,cpu_util
1776971737.179,0.8026761967778736,round_a_mw2_4,5. Random Walk,cpu_util
1776971752.179,0.920474633711062,round_a_mw2_4,5. Random Walk,cpu_util
1776971767.179,0.614109346520407,round_a_mw2_4,5. Random Walk,cpu_util
1776971782.179,0.6594189715120913,round_a_mw2_4,5. Random Walk,cpu_util
1776971797.179,0.4997035891280754,round_a_mw2_4,5. Random Walk,cpu_util
1776971812.179,0.4338738219764166,round_a_mw2_4,5. Random Walk,cpu_util
1776971827.179,0.4384385736070975,round_a_mw2_4,5. Random Walk,cpu_util
1776971842.179,0.5203072113364345,round_a_mw2_4,5. Random Walk,cpu_util
1776971857.179,0.3222320089863047,round_a_mw2_4,5. Random Walk,cpu_util
1776971872.179,0.3309847236603161,round_a_mw2_4,5. Random Walk,cpu_util
1776971887.179,0.4101183904041566,round_a_mw2_4,5. Random Walk,cpu_util
1776971902.179,0.3799357632782539,round_a_mw2_4,5. Random Walk,cpu_util
1776971917.179,0.3963437062775199,round_a_mw2_4,5. Random Walk,cpu_util
1776971932.179,0.3671568717686738,round_a_mw2_4,5. Random Walk,cpu_util
1776971947.179,0.5136116427468153,round_a_mw2_4,5. Random Walk,cpu_util
1776971962.179,0.4641301757633518,round_a_mw2_4,5. Random Walk,cpu_util
1776971977.179,0.6128494178756769,round_a_mw2_4,5. Random Walk,cpu_util
1776971992.179,0.5693054648122505,round_a_mw2_4,5. Random Walk,cpu_util
1776972007.179,0.2966563940026097,round_a_mw2_4,5. Random Walk,cpu_util
1776972022.179,0.3734125190826727,round_a_mw2_4,5. Random Walk,cpu_util
1776972037.179,0.4676625554705208,round_a_mw2_4,5. Random Walk,cpu_util
1776972052.179,0.6069572112679847,round_a_mw2_4,5. Random Walk,cpu_util
1776972067.179,0.6453926146886483,round_a_mw2_4,5. Random Walk,cpu_util
1776972082.179,0.6181471747091805,round_a_mw2_4,5. Random Walk,cpu_util
1776972097.179,0.2674227050990045,round_a_mw2_4,5. Random Walk,cpu_util
1776972112.179,0.0017182207393721,round_a_mw2_4,5. Random Walk,cpu_util
