ts,value,round,scenario,metric
1776971452.179,1,round_a_mw2_4,5. Random Walk,replicas
1776971467.179,1,round_a_mw2_4,5. Random Walk,replicas
1776971482.179,1,round_a_mw2_4,5. Random Walk,replicas
1776971497.179,1,round_a_mw2_4,5. Random Walk,replicas
1776971512.179,1,round_a_mw2_4,5. Random Walk,replicas
1776971527.179,1,round_a_mw2_4,5. Random Walk,replicas
1776971542.179,1,round_a_mw2_4,5. Random Walk,replicas
1776971557.179,1,round_a_mw2_4,5. Random Walk,replicas
1776971572.179,1,round_a_mw2_4,5. Random Walk,replicas
1776971587.179,1,round_a_mw2_4,5. Random Walk,replicas
1776971602.179,1,round_a_mw2_4,5. Random Walk,replicas
1776971617.179,3,round_a_mw2_4,5. Random Walk,replicas
1776971632.179,3,round_a_mw2_4,5. Random Walk,replicas
1776971647.179,3,round_a_mw2_4,5. Random Walk,replicas
1776971662.179,3,round_a_mw2_4,5. Random Walk,replicas
1776971677.179,3,round_a_mw2_4,5. Random Walk,replicas
1776971692.179,3,round_a_mw2_4,5. Random Walk,replicas
1776971707.179,3,round_a_mw2_4,5. Random Walk,replicas
1776971722.179,3,round_a_mw2_4,5. Random Walk,replicas
1776971737.179,4,round_a_mw2_4,5. Random Walk,replicas
1776971752.179,4,round_a_mw2_4,5. Random Walk,replicas
1776971767.179,4,round_a_mw2_4,5. Random Walk,replicas
1776971782.179,4,round_a_mw2_4,5. Random Walk,replicas
1776971797.179,6,round_a_mw2_4,5. Random Walk,replicas
1776971812.179,6,round_a_mw2_4,5. Random Walk,replicas
1776971827.179,6,round_a_mw2_4,5. Random Walk,replicas
1776971842.179,6,round_a_mw2_4,5. Random Walk,replicas
1776971857.179,8,round_a_mw2_4,5. Random Walk,replicas
1776971872.179,8,round_a_mw2_4,5. Random Walk,replicas
1776971887.179,8,round_a_mw2_4,5. Random Walk,replicas
1776971902.179,8,round_a_mw2_4,5. Random Walk,replicas
1776971917.179,8,round_a_mw2_4,5. Random Walk,replicas
1776971932.179,8,round_a_mw2_4,5. Random Walk,replicas
1776971947.179,8,round_a_mw2_4,5. Random Walk,replicas
1776971962.179,8,round_a_mw2_4,5. Random Walk,replicas
1776971977.179,7,round_a_mw2_4,5. Random Walk,replicas
1776971992.179,7,round_a_mw2_4,5. Random Walk,replicas
1776972007.179,7,round_a_mw2_4,5. Random Walk,replicas
1776972022.179,7,round_a_mw2_4,5. Random Walk,replicas
1776972037.179,9,round_a_mw2_4,5. Random Walk,replicas
1776972052.179,9,round_a_mw2_4,5. Random Walk,replicas
1776972067.179,9,round_a_mw2_4,5. Random Walk,replicas
1776972082.179,9,round_a_mw2_4,5. Random Walk,replicas
1776972097.179,9,round_a_mw2_4,5. Random Walk,replicas
1776972112.179,9,round_a_mw2_4,5. Random Walk,replicas
