ts,value,round,scenario,metric
1776972352.179,1,round_a_mw2_4,6. Quiet + Burst,replicas
1776972367.179,1,round_a_mw2_4,6. Quiet + Burst,replicas
1776972382.179,1,round_a_mw2_4,6. Quiet + Burst,replicas
1776972397.179,1,round_a_mw2_4,6. Quiet + Burst,replicas
1776972412.179,1,round_a_mw2_4,6. Quiet + Burst,replicas
1776972427.179,1,round_a_mw2_4,6. Quiet + Burst,replicas
1776972442.179,1,round_a_mw2_4,6. Quiet + Burst,replicas
1776972457.179,1,round_a_mw2_4,6. Quiet + Burst,replicas
1776972472.179,1,round_a_mw2_4,6. Quiet + Burst,replicas
1776972487.179,1,round_a_mw2_4,6. Quiet + Burst,replicas
1776972502.179,1,round_a_mw2_4,6. Quiet + Burst,replicas
1776972517.179,1,round_a_mw2_4,6. Quiet + Burst,replicas
1776972532.179,1,round_a_mw2_4,6. Quiet + Burst,replicas
1776972547.179,1,round_a_mw2_4,6. Quiet + Burst,replicas
1776972562.179,1,round_a_mw2_4,6. Quiet + Burst,replicas
1776972577.179,1,round_a_mw2_4,6. Quiet + Burst,replicas
1776972592.179,1,round_a_mw2_4,6. Quiet + Burst,replicas
1776972607.179,1,round_a_mw2_4,6. Quiet + Burst,replicas
1776972622.179,1,round_a_mw2_4,6. Quiet + Burst,replicas
1776972637.179,2,round_a_mw2_4,6. Quiet + Burst,replicas
1776972652.179,2,round_a_mw2_4,6. Quiet + Burst,replicas
1776972667.179,2,round_a_mw2_4,6. Quiet + Burst,replicas
1776972682.179,2,round_a_mw2_4,6. Quiet + Burst,replicas
1776972697.179,1,round_a_mw2_4,6. Quiet + Burst,replicas
1776972712.179,1,round_a_mw2_4,6. Quiet + Burst,replicas
1776972727.179,1,round_a_mw2_4,6. Quiet + Burst,replicas
1776972742.179,1,round_a_mw2_4,6. Quiet + Burst,replicas
1776972757.179,1,round_a_mw2_4,6. Quiet + Burst,replicas
1776972772.179,1,round_a_mw2_4,6. Quiet + Burst,replicas
1776972787.179,1,round_a_mw2_4,6. Quiet + Burst,replicas
1776972802.179,1,round_a_mw2_4,6. Quiet + Burst,replicas
1776972817.179,2,round_a_mw2_4,6. Quiet + Burst,replicas
1776972832.179,2,round_a_mw2_4,6. Quiet + Burst,replicas
1776972847.179,2,round_a_mw2_4,6. Quiet + Burst,replicas
1776972862.179,2,round_a_mw2_4,6. Quiet + Burst,replicas
1776972877.179,1,round_a_mw2_4,6. Quiet + Burst,replicas
1776972892.179,1,round_a_mw2_4,6. Quiet + Burst,replicas
1776972907.179,1,round_a_mw2_4,6. Quiet + Burst,replicas
1776972922.179,1,round_a_mw2_4,6. Quiet + Burst,replicas
1776972937.179,2,round_a_mw2_4,6. Quiet + Burst,replicas
1776972952.179,2,round_a_mw2_4,6. Quiet + Burst,replicas
1776972967.179,2,round_a_mw2_4,6. Quiet + Burst,replicas
1776972982.179,2,round_a_mw2_4,6. Quiet + Burst,replicas
1776972997.179,1,round_a_mw2_4,6. Quiet + Burst,replicas
1776973012.179,1,round_a_mw2_4,6. Quiet + Burst,replicas
