ts,value,round,scenario,metric
1776979871.922,1,round_b_mw2_2,2. Step Function,replicas
1776979886.922,1,round_b_mw2_2,2. Step Function,replicas
1776979901.922,1,round_b_mw2_2,2. Step Function,replicas
1776979916.922,1,round_b_mw2_2,2. Step Function,replicas
1776979931.922,1,round_b_mw2_2,2. Step Function,replicas
1776979946.922,1,round_b_mw2_2,2. Step Function,replicas
1776979961.922,1,round_b_mw2_2,2. Step Function,replicas
1776979976.922,1,round_b_mw2_2,2. Step Function,replicas
1776979991.922,1,round_b_mw2_2,2. Step Function,replicas
1776980006.922,1,round_b_mw2_2,2. Step Function,replicas
1776980021.922,1,round_b_mw2_2,2. Step Function,replicas
1776980036.922,1,round_b_mw2_2,2. Step Function,replicas
1776980051.922,1,round_b_mw2_2,2. Step Function,replicas
1776980066.922,1,round_b_mw2_2,2. Step Function,replicas
1776980081.922,2,round_b_mw2_2,2. Step Function,replicas
1776980096.922,2,round_b_mw2_2,2. Step Function,replicas
1776980111.922,3,round_b_mw2_2,2. Step Function,replicas
1776980126.922,3,round_b_mw2_2,2. Step Function,replicas
1776980141.922,4,round_b_mw2_2,2. Step Function,replicas
1776980156.922,4,round_b_mw2_2,2. Step Function,replicas
1776980171.922,4,round_b_mw2_2,2. Step Function,replicas
1776980186.922,4,round_b_mw2_2,2. Step Function,replicas
1776980201.922,4,round_b_mw2_2,2. Step Function,replicas
1776980216.922,4,round_b_mw2_2,2. Step Function,replicas
1776980231.922,4,round_b_mw2_2,2. Step Function,replicas
1776980246.922,4,round_b_mw2_2,2. Step Function,replicas
1776980261.922,4,round_b_mw2_2,2. Step Function,replicas
1776980276.922,4,round_b_mw2_2,2. Step Function,replicas
1776980291.922,6,round_b_mw2_2,2. Step Function,replicas
1776980306.922,6,round_b_mw2_2,2. Step Function,replicas
1776980321.922,10,round_b_mw2_2,2. Step Function,replicas
1776980336.922,10,round_b_mw2_2,2. Step Function,replicas
1776980351.922,15,round_b_mw2_2,2. Step Function,replicas
1776980366.922,15,round_b_mw2_2,2. Step Function,replicas
1776980381.922,15,round_b_mw2_2,2. Step Function,replicas
1776980396.922,15,round_b_mw2_2,2. Step Function,replicas
1776980411.922,11,round_b_mw2_2,2. Step Function,replicas
1776980426.922,11,round_b_mw2_2,2. Step Function,replicas
1776980441.922,9,round_b_mw2_2,2. Step Function,replicas
1776980456.922,9,round_b_mw2_2,2. Step Function,replicas
1776980471.922,6,round_b_mw2_2,2. Step Function,replicas
1776980486.922,6,round_b_mw2_2,2. Step Function,replicas
1776980501.922,3,round_b_mw2_2,2. Step Function,replicas
1776980516.922,3,round_b_mw2_2,2. Step Function,replicas
1776980531.922,2,round_b_mw2_2,2. Step Function,replicas
