ts,value,round,scenario,metric
1776980771.922,0.0014326963563666,round_b_mw2_2,3. Sine Wave,cpu_util
1776980786.922,0.0021832798513479,round_b_mw2_2,3. Sine Wave,cpu_util
1776980801.922,0.0015795004443549,round_b_mw2_2,3. Sine Wave,cpu_util
1776980816.922,0.447318292091159,round_b_mw2_2,3. Sine Wave,cpu_util
1776980831.922,0.9999165690603982,round_b_mw2_2,3. Sine Wave,cpu_util
1776980846.922,0.9986519374068672,round_b_mw2_2,3. Sine Wave,cpu_util
1776980861.922,1.000399326137046,round_b_mw2_2,3. Sine Wave,cpu_util
1776980876.922,1.000095637680366,round_b_mw2_2,3. Sine Wave,cpu_util
1776980891.922,0.4993851731411849,round_b_mw2_2,3. Sine Wave,cpu_util
1776980906.922,0.3192823977484522,round_b_mw2_2,3. Sine Wave,cpu_util
1776980921.922,0.8628206973563772,round_b_mw2_2,3. Sine Wave,cpu_util
1776980936.922,0.4984531451128464,round_b_mw2_2,3. Sine Wave,cpu_util
1776980951.922,0.3341570332999093,round_b_mw2_2,3. Sine Wave,cpu_util
1776980966.922,0.6672910265326886,round_b_mw2_2,3. Sine Wave,cpu_util
1776980981.922,0.3049589040590952,round_b_mw2_2,3. Sine Wave,cpu_util
1776980996.922,0.0454882275586628,round_b_mw2_2,3. Sine Wave,cpu_util
1776981011.922,0.4117031054214291,round_b_mw2_2,3. Sine Wave,cpu_util
1776981026.922,0.8403430717248991,round_b_mw2_2,3. Sine Wave,cpu_util
1776981041.922,0.856656490751951,round_b_mw2_2,3. Sine Wave,cpu_util
1776981056.922,0.8434670322139913,round_b_mw2_2,3. Sine Wave,cpu_util
1776981071.922,0.3619068989706727,round_b_mw2_2,3. Sine Wave,cpu_util
1776981086.922,0.0987321881870968,round_b_mw2_2,3. Sine Wave,cpu_util
1776981101.922,0.2709424150227265,round_b_mw2_2,3. Sine Wave,cpu_util
1776981116.922,0.5728204560721163,round_b_mw2_2,3. Sine Wave,cpu_util
1776981131.922,0.5925000270235642,round_b_mw2_2,3. Sine Wave,cpu_util
1776981146.922,0.6176992054638536,round_b_mw2_2,3. Sine Wave,cpu_util
1776981161.922,0.2357666554977929,round_b_mw2_2,3. Sine Wave,cpu_util
1776981176.922,0.0245745930742677,round_b_mw2_2,3. Sine Wave,cpu_util
1776981191.922,0.2475925686992793,round_b_mw2_2,3. Sine Wave,cpu_util
1776981206.922,0.5712676680700034,round_b_mw2_2,3. Sine Wave,cpu_util
1776981221.922,0.5746175515181895,round_b_mw2_2,3. Sine Wave,cpu_util
1776981236.922,0.5712222242572925,round_b_mw2_2,3. Sine Wave,cpu_util
1776981251.922,0.2945717358619403,round_b_mw2_2,3. Sine Wave,cpu_util
1776981266.922,0.0507714583169949,round_b_mw2_2,3. Sine Wave,cpu_util
1776981281.922,0.1966230155339822,round_b_mw2_2,3. Sine Wave,cpu_util
1776981296.922,0.6400369994386651,round_b_mw2_2,3. Sine Wave,cpu_util
1776981311.922,0.6238135982867018,round_b_mw2_2,3. Sine Wave,cpu_util
1776981326.922,0.5213534550712008,round_b_mw2_2,3. Sine Wave,cpu_util
1776981341.922,0.2642256708590197,round_b_mw2_2,3. Sine Wave,cpu_util
1776981356.922,0.0518163542232022,round_b_mw2_2,3. Sine Wave,cpu_util
1776981371.922,0.2292682159685188,round_b_mw2_2,3. Sine Wave,cpu_util
1776981386.922,0.5821783777582161,round_b_mw2_2,3. Sine Wave,cpu_util
1776981401.922,0.6963888365848651,round_b_mw2_2,3. Sine Wave,cpu_util
1776981416.922,0.5206761032386091,round_b_mw2_2,3. Sine Wave,cpu_util
1776981431.922,0.2266360027649102,round_b_mw2_2,3. Sine Wave,cpu_util
1776981446.922,0.0509210663171879,round_b_mw2_2,3. Sine Wave,cpu_util
1776981461.922,0.224448059227226,round_b_mw2_2,3. Sine Wave,cpu_util
1776981476.922,0.5862170381988154,round_b_mw2_2,3. Sine Wave,cpu_util
1776981491.922,0.7172277098662593,round_b_mw2_2,3. Sine Wave,cpu_util
1776981506.922,0.4407829926131121,round_b_mw2_2,3. Sine Wave,cpu_util
1776981521.922,0.2125079390333757,round_b_mw2_2,3. Sine Wave,cpu_util
1776981536.922,0.0311065905850801,round_b_mw2_2,3. Sine Wave,cpu_util
1776981551.922,0.0019599091754793,round_b_mw2_2,3. Sine Wave,cpu_util
