ts,value,round,scenario,metric
1776981791.922,1,round_b_mw2_2,4. Multi Spike,replicas
1776981806.922,1,round_b_mw2_2,4. Multi Spike,replicas
1776981821.922,1,round_b_mw2_2,4. Multi Spike,replicas
1776981836.922,1,round_b_mw2_2,4. Multi Spike,replicas
1776981851.922,1,round_b_mw2_2,4. Multi Spike,replicas
1776981866.922,1,round_b_mw2_2,4. Multi Spike,replicas
1776981881.922,1,round_b_mw2_2,4. Multi Spike,replicas
1776981896.922,1,round_b_mw2_2,4. Multi Spike,replicas
1776981911.922,1,round_b_mw2_2,4. Multi Spike,replicas
1776981926.922,1,round_b_mw2_2,4. Multi Spike,replicas
1776981941.922,2,round_b_mw2_2,4. Multi Spike,replicas
1776981956.922,2,round_b_mw2_2,4. Multi Spike,replicas
1776981971.922,3,round_b_mw2_2,4. Multi Spike,replicas
1776981986.922,3,round_b_mw2_2,4. Multi Spike,replicas
1776982001.922,3,round_b_mw2_2,4. Multi Spike,replicas
1776982016.922,3,round_b_mw2_2,4. Multi Spike,replicas
1776982031.922,4,round_b_mw2_2,4. Multi Spike,replicas
1776982046.922,4,round_b_mw2_2,4. Multi Spike,replicas
1776982061.922,5,round_b_mw2_2,4. Multi Spike,replicas
1776982076.922,5,round_b_mw2_2,4. Multi Spike,replicas
1776982091.922,5,round_b_mw2_2,4. Multi Spike,replicas
1776982106.922,5,round_b_mw2_2,4. Multi Spike,replicas
1776982121.922,6,round_b_mw2_2,4. Multi Spike,replicas
1776982136.922,6,round_b_mw2_2,4. Multi Spike,replicas
1776982151.922,6,round_b_mw2_2,4. Multi Spike,replicas
1776982166.922,6,round_b_mw2_2,4. Multi Spike,replicas
1776982181.922,5,round_b_mw2_2,4. Multi Spike,replicas
1776982196.922,5,round_b_mw2_2,4. Multi Spike,replicas
1776982211.922,5,round_b_mw2_2,4. Multi Spike,replicas
1776982226.922,5,round_b_mw2_2,4. Multi Spike,replicas
1776982241.922,7,round_b_mw2_2,4. Multi Spike,replicas
1776982256.922,7,round_b_mw2_2,4. Multi Spike,replicas
1776982271.922,7,round_b_mw2_2,4. Multi Spike,replicas
1776982286.922,7,round_b_mw2_2,4. Multi Spike,replicas
1776982301.922,7,round_b_mw2_2,4. Multi Spike,replicas
1776982316.922,7,round_b_mw2_2,4. Multi Spike,replicas
1776982331.922,7,round_b_mw2_2,4. Multi Spike,replicas
1776982346.922,7,round_b_mw2_2,4. Multi Spike,replicas
1776982361.922,7,round_b_mw2_2,4. Multi Spike,replicas
1776982376.922,7,round_b_mw2_2,4. Multi Spike,replicas
1776982391.922,7,round_b_mw2_2,4. Multi Spike,replicas
1776982406.922,7,round_b_mw2_2,4. Multi Spike,replicas
1776982421.922,9,round_b_mw2_2,4. Multi Spike,replicas
1776982436.922,9,round_b_mw2_2,4. Multi Spike,replicas
1776982451.922,9,round_b_mw2_2,4. Multi Spike,replicas
