ts,value,round,scenario,metric
1776962190.08,1,round_b_mw2_3,1. Linear Ramp,replicas
1776962205.08,1,round_b_mw2_3,1. Linear Ramp,replicas
1776962220.08,1,round_b_mw2_3,1. Linear Ramp,replicas
1776962235.08,1,round_b_mw2_3,1. Linear Ramp,replicas
1776962250.08,1,round_b_mw2_3,1. Linear Ramp,replicas
1776962265.08,1,round_b_mw2_3,1. Linear Ramp,replicas
1776962280.08,1,round_b_mw2_3,1. Linear Ramp,replicas
1776962295.08,1,round_b_mw2_3,1. Linear Ramp,replicas
1776962310.08,1,round_b_mw2_3,1. Linear Ramp,replicas
1776962325.08,1,round_b_mw2_3,1. Linear Ramp,replicas
1776962340.08,2,round_b_mw2_3,1. Linear Ramp,replicas
1776962355.08,2,round_b_mw2_3,1. Linear Ramp,replicas
1776962370.08,4,round_b_mw2_3,1. Linear Ramp,replicas
1776962385.08,4,round_b_mw2_3,1. Linear Ramp,replicas
1776962400.08,7,round_b_mw2_3,1. Linear Ramp,replicas
1776962415.08,7,round_b_mw2_3,1. Linear Ramp,replicas
1776962430.08,11,round_b_mw2_3,1. Linear Ramp,replicas
1776962445.08,11,round_b_mw2_3,1. Linear Ramp,replicas
1776962460.08,15,round_b_mw2_3,1. Linear Ramp,replicas
1776962475.08,15,round_b_mw2_3,1. Linear Ramp,replicas
1776962490.08,15,round_b_mw2_3,1. Linear Ramp,replicas
1776962505.08,15,round_b_mw2_3,1. Linear Ramp,replicas
1776962520.08,14,round_b_mw2_3,1. Linear Ramp,replicas
1776962535.08,14,round_b_mw2_3,1. Linear Ramp,replicas
1776962550.08,12,round_b_mw2_3,1. Linear Ramp,replicas
1776962565.08,12,round_b_mw2_3,1. Linear Ramp,replicas
1776962580.08,11,round_b_mw2_3,1. Linear Ramp,replicas
1776962595.08,11,round_b_mw2_3,1. Linear Ramp,replicas
1776962610.08,11,round_b_mw2_3,1. Linear Ramp,replicas
1776962625.08,11,round_b_mw2_3,1. Linear Ramp,replicas
1776962640.08,11,round_b_mw2_3,1. Linear Ramp,replicas
1776962655.08,11,round_b_mw2_3,1. Linear Ramp,replicas
1776962670.08,11,round_b_mw2_3,1. Linear Ramp,replicas
1776962685.08,11,round_b_mw2_3,1. Linear Ramp,replicas
1776962700.08,11,round_b_mw2_3,1. Linear Ramp,replicas
1776962715.08,11,round_b_mw2_3,1. Linear Ramp,replicas
1776962730.08,11,round_b_mw2_3,1. Linear Ramp,replicas
1776962745.08,11,round_b_mw2_3,1. Linear Ramp,replicas
1776962760.08,11,round_b_mw2_3,1. Linear Ramp,replicas
1776962775.08,11,round_b_mw2_3,1. Linear Ramp,replicas
1776962790.08,10,round_b_mw2_3,1. Linear Ramp,replicas
1776962805.08,10,round_b_mw2_3,1. Linear Ramp,replicas
1776962820.08,8,round_b_mw2_3,1. Linear Ramp,replicas
1776962835.08,8,round_b_mw2_3,1. Linear Ramp,replicas
1776962850.08,6,round_b_mw2_3,1. Linear Ramp,replicas
