ts,value,round,scenario,metric
1776965910.08,1,round_b_mw2_3,5. Random Walk,replicas
1776965925.08,1,round_b_mw2_3,5. Random Walk,replicas
1776965940.08,1,round_b_mw2_3,5. Random Walk,replicas
1776965955.08,1,round_b_mw2_3,5. Random Walk,replicas
1776965970.08,1,round_b_mw2_3,5. Random Walk,replicas
1776965985.08,1,round_b_mw2_3,5. Random Walk,replicas
1776966000.08,1,round_b_mw2_3,5. Random Walk,replicas
1776966015.08,1,round_b_mw2_3,5. Random Walk,replicas
1776966030.08,2,round_b_mw2_3,5. Random Walk,replicas
1776966045.08,2,round_b_mw2_3,5. Random Walk,replicas
1776966060.08,4,round_b_mw2_3,5. Random Walk,replicas
1776966075.08,4,round_b_mw2_3,5. Random Walk,replicas
1776966090.08,6,round_b_mw2_3,5. Random Walk,replicas
1776966105.08,6,round_b_mw2_3,5. Random Walk,replicas
1776966120.08,6,round_b_mw2_3,5. Random Walk,replicas
1776966135.08,6,round_b_mw2_3,5. Random Walk,replicas
1776966150.08,5,round_b_mw2_3,5. Random Walk,replicas
1776966165.08,5,round_b_mw2_3,5. Random Walk,replicas
1776966180.08,5,round_b_mw2_3,5. Random Walk,replicas
1776966195.08,5,round_b_mw2_3,5. Random Walk,replicas
1776966210.08,6,round_b_mw2_3,5. Random Walk,replicas
1776966225.08,6,round_b_mw2_3,5. Random Walk,replicas
1776966240.08,9,round_b_mw2_3,5. Random Walk,replicas
1776966255.08,9,round_b_mw2_3,5. Random Walk,replicas
1776966270.08,13,round_b_mw2_3,5. Random Walk,replicas
1776966285.08,13,round_b_mw2_3,5. Random Walk,replicas
1776966300.08,15,round_b_mw2_3,5. Random Walk,replicas
1776966315.08,15,round_b_mw2_3,5. Random Walk,replicas
1776966330.08,15,round_b_mw2_3,5. Random Walk,replicas
1776966345.08,15,round_b_mw2_3,5. Random Walk,replicas
1776966360.08,14,round_b_mw2_3,5. Random Walk,replicas
1776966375.08,14,round_b_mw2_3,5. Random Walk,replicas
1776966390.08,12,round_b_mw2_3,5. Random Walk,replicas
1776966405.08,12,round_b_mw2_3,5. Random Walk,replicas
1776966420.08,11,round_b_mw2_3,5. Random Walk,replicas
1776966435.08,11,round_b_mw2_3,5. Random Walk,replicas
1776966450.08,11,round_b_mw2_3,5. Random Walk,replicas
1776966465.08,11,round_b_mw2_3,5. Random Walk,replicas
1776966480.08,11,round_b_mw2_3,5. Random Walk,replicas
1776966495.08,11,round_b_mw2_3,5. Random Walk,replicas
1776966510.08,11,round_b_mw2_3,5. Random Walk,replicas
1776966525.08,11,round_b_mw2_3,5. Random Walk,replicas
1776966540.08,13,round_b_mw2_3,5. Random Walk,replicas
1776966555.08,13,round_b_mw2_3,5. Random Walk,replicas
1776966570.08,15,round_b_mw2_3,5. Random Walk,replicas
