ts,value,round,scenario,metric
1776966810.08,0.0022173210080729,round_b_mw2_3,6. Quiet + Burst,cpu_util
1776966825.08,0.0021695343330482,round_b_mw2_3,6. Quiet + Burst,cpu_util
1776966840.08,0.0021477828134947,round_b_mw2_3,6. Quiet + Burst,cpu_util
1776966855.08,0.0515877783116933,round_b_mw2_3,6. Quiet + Burst,cpu_util
1776966870.08,0.1229763265306079,round_b_mw2_3,6. Quiet + Burst,cpu_util
1776966885.08,0.1216494503760444,round_b_mw2_3,6. Quiet + Burst,cpu_util
1776966900.08,0.1259496800100529,round_b_mw2_3,6. Quiet + Burst,cpu_util
1776966915.08,0.1259585667097349,round_b_mw2_3,6. Quiet + Burst,cpu_util
1776966960.08,0.1217165442676226,round_b_mw2_3,6. Quiet + Burst,cpu_util
1776966975.08,0.1188697191550675,round_b_mw2_3,6. Quiet + Burst,cpu_util
1776966990.08,0.1163000069768815,round_b_mw2_3,6. Quiet + Burst,cpu_util
1776967005.08,0.6102965420298234,round_b_mw2_3,6. Quiet + Burst,cpu_util
1776967035.08,0.698896294904946,round_b_mw2_3,6. Quiet + Burst,cpu_util
1776967050.08,0.3078912402459567,round_b_mw2_3,6. Quiet + Burst,cpu_util
1776967065.08,0.0010749329244921,round_b_mw2_3,6. Quiet + Burst,cpu_util
1776967080.08,0.0007314978232733,round_b_mw2_3,6. Quiet + Burst,cpu_util
1776967095.08,0.0416462921150961,round_b_mw2_3,6. Quiet + Burst,cpu_util
1776967110.08,0.0628877881603321,round_b_mw2_3,6. Quiet + Burst,cpu_util
1776967125.08,0.0596582380849744,round_b_mw2_3,6. Quiet + Burst,cpu_util
1776967140.08,0.0870940197274488,round_b_mw2_3,6. Quiet + Burst,cpu_util
1776967155.08,0.6234429651651321,round_b_mw2_3,6. Quiet + Burst,cpu_util
1776967170.08,1.0001827082641346,round_b_mw2_3,6. Quiet + Burst,cpu_util
1776967185.08,0.9991984732824548,round_b_mw2_3,6. Quiet + Burst,cpu_util
1776967200.08,0.4996893077450177,round_b_mw2_3,6. Quiet + Burst,cpu_util
1776967215.08,0.1313707447275029,round_b_mw2_3,6. Quiet + Burst,cpu_util
1776967230.08,0.0411094557869674,round_b_mw2_3,6. Quiet + Burst,cpu_util
1776967245.08,0.0438816844818933,round_b_mw2_3,6. Quiet + Burst,cpu_util
1776967260.08,0.0423773899992916,round_b_mw2_3,6. Quiet + Burst,cpu_util
1776967275.08,0.0440165723362117,round_b_mw2_3,6. Quiet + Burst,cpu_util
1776967290.08,0.1214457680624349,round_b_mw2_3,6. Quiet + Burst,cpu_util
1776967305.08,0.117920435650134,round_b_mw2_3,6. Quiet + Burst,cpu_util
1776967320.08,0.7656874476549604,round_b_mw2_3,6. Quiet + Burst,cpu_util
1776967335.08,1.0035076467214674,round_b_mw2_3,6. Quiet + Burst,cpu_util
1776967350.08,0.4917467319068029,round_b_mw2_3,6. Quiet + Burst,cpu_util
1776967365.08,0.0606785552901656,round_b_mw2_3,6. Quiet + Burst,cpu_util
1776967380.08,0.0636859606638632,round_b_mw2_3,6. Quiet + Burst,cpu_util
1776967395.08,0.0599895043766391,round_b_mw2_3,6. Quiet + Burst,cpu_util
1776967410.08,0.0469054169977677,round_b_mw2_3,6. Quiet + Burst,cpu_util
1776967425.08,0.0581817213776811,round_b_mw2_3,6. Quiet + Burst,cpu_util
1776967440.08,0.129307096131985,round_b_mw2_3,6. Quiet + Burst,cpu_util
1776967455.08,0.0685174866627148,round_b_mw2_3,6. Quiet + Burst,cpu_util
