ts,value,round,scenario,metric
1776973140.122,0.0021350754508442,round_b_mw2_4,1. Linear Ramp,cpu_util
1776973155.122,0.0022116586877188,round_b_mw2_4,1. Linear Ramp,cpu_util
1776973170.122,0.0021642853291364,round_b_mw2_4,1. Linear Ramp,cpu_util
1776973185.122,0.1213485740153888,round_b_mw2_4,1. Linear Ramp,cpu_util
1776973200.122,0.913151976068062,round_b_mw2_4,1. Linear Ramp,cpu_util
1776973215.122,0.9998584775215952,round_b_mw2_4,1. Linear Ramp,cpu_util
1776973230.122,0.4999270137079228,round_b_mw2_4,1. Linear Ramp,cpu_util
1776973245.122,0.3623520452255653,round_b_mw2_4,1. Linear Ramp,cpu_util
1776973260.122,0.6147363765066802,round_b_mw2_4,1. Linear Ramp,cpu_util
1776973275.122,0.8948354224768956,round_b_mw2_4,1. Linear Ramp,cpu_util
1776973290.122,0.5772295073239541,round_b_mw2_4,1. Linear Ramp,cpu_util
1776973305.122,0.7373356929616816,round_b_mw2_4,1. Linear Ramp,cpu_util
1776973320.122,0.4616975361758937,round_b_mw2_4,1. Linear Ramp,cpu_util
1776973335.122,0.4133731662504615,round_b_mw2_4,1. Linear Ramp,cpu_util
1776973350.122,0.2891846401395417,round_b_mw2_4,1. Linear Ramp,cpu_util
1776973365.122,0.416350201592093,round_b_mw2_4,1. Linear Ramp,cpu_util
1776973380.122,0.3793458435685525,round_b_mw2_4,1. Linear Ramp,cpu_util
1776973395.122,0.3952428175084128,round_b_mw2_4,1. Linear Ramp,cpu_util
1776973410.122,0.2886155673381582,round_b_mw2_4,1. Linear Ramp,cpu_util
1776973425.122,0.3293738701904422,round_b_mw2_4,1. Linear Ramp,cpu_util
1776973440.122,0.3303766634972074,round_b_mw2_4,1. Linear Ramp,cpu_util
1776973455.122,0.2775666098919784,round_b_mw2_4,1. Linear Ramp,cpu_util
1776973470.122,0.1975826645750849,round_b_mw2_4,1. Linear Ramp,cpu_util
1776973485.122,0.1599604737537288,round_b_mw2_4,1. Linear Ramp,cpu_util
1776973500.122,0.2343540615067516,round_b_mw2_4,1. Linear Ramp,cpu_util
1776973515.122,0.2628490456660812,round_b_mw2_4,1. Linear Ramp,cpu_util
1776973530.122,0.3071243289758753,round_b_mw2_4,1. Linear Ramp,cpu_util
1776973545.122,0.2770513122409581,round_b_mw2_4,1. Linear Ramp,cpu_util
1776973560.122,0.2229316190975028,round_b_mw2_4,1. Linear Ramp,cpu_util
1776973575.122,0.2752178653849743,round_b_mw2_4,1. Linear Ramp,cpu_util
1776973590.122,0.303089697224158,round_b_mw2_4,1. Linear Ramp,cpu_util
1776973605.122,0.1618935121549716,round_b_mw2_4,1. Linear Ramp,cpu_util
1776973620.122,0.2354264399022149,round_b_mw2_4,1. Linear Ramp,cpu_util
1776973635.122,0.3060894540177159,round_b_mw2_4,1. Linear Ramp,cpu_util
1776973650.122,0.1716536355639508,round_b_mw2_4,1. Linear Ramp,cpu_util
1776973665.122,0.1581358294177728,round_b_mw2_4,1. Linear Ramp,cpu_util
1776973680.122,0.2260890385606593,round_b_mw2_4,1. Linear Ramp,cpu_util
1776973695.122,0.19826127879472,round_b_mw2_4,1. Linear Ramp,cpu_util
1776973710.122,0.2310101792196038,round_b_mw2_4,1. Linear Ramp,cpu_util
1776973725.122,0.1504353816609255,round_b_mw2_4,1. Linear Ramp,cpu_util
1776973740.122,0.1976411884149891,round_b_mw2_4,1. Linear Ramp,cpu_util
1776973755.122,0.1826281943010305,round_b_mw2_4,1. Linear Ramp,cpu_util
1776973770.122,0.1075485337869672,round_b_mw2_4,1. Linear Ramp,cpu_util
1776973785.122,0.0226215705728677,round_b_mw2_4,1. Linear Ramp,cpu_util
1776973800.122,0.0018840907810567,round_b_mw2_4,1. Linear Ramp,cpu_util
