ts,value,round,scenario,metric
1776974940.122,1,round_b_mw2_4,3. Sine Wave,replicas
1776974955.122,1,round_b_mw2_4,3. Sine Wave,replicas
1776974970.122,1,round_b_mw2_4,3. Sine Wave,replicas
1776974985.122,1,round_b_mw2_4,3. Sine Wave,replicas
1776975000.122,1,round_b_mw2_4,3. Sine Wave,replicas
1776975015.122,1,round_b_mw2_4,3. Sine Wave,replicas
1776975030.122,1,round_b_mw2_4,3. Sine Wave,replicas
1776975045.122,1,round_b_mw2_4,3. Sine Wave,replicas
1776975060.122,1,round_b_mw2_4,3. Sine Wave,replicas
1776975075.122,1,round_b_mw2_4,3. Sine Wave,replicas
1776975090.122,2,round_b_mw2_4,3. Sine Wave,replicas
1776975105.122,2,round_b_mw2_4,3. Sine Wave,replicas
1776975120.122,4,round_b_mw2_4,3. Sine Wave,replicas
1776975135.122,4,round_b_mw2_4,3. Sine Wave,replicas
1776975150.122,4,round_b_mw2_4,3. Sine Wave,replicas
1776975165.122,4,round_b_mw2_4,3. Sine Wave,replicas
1776975180.122,6,round_b_mw2_4,3. Sine Wave,replicas
1776975195.122,6,round_b_mw2_4,3. Sine Wave,replicas
1776975210.122,6,round_b_mw2_4,3. Sine Wave,replicas
1776975225.122,6,round_b_mw2_4,3. Sine Wave,replicas
1776975240.122,7,round_b_mw2_4,3. Sine Wave,replicas
1776975255.122,7,round_b_mw2_4,3. Sine Wave,replicas
1776975270.122,9,round_b_mw2_4,3. Sine Wave,replicas
1776975285.122,9,round_b_mw2_4,3. Sine Wave,replicas
1776975300.122,11,round_b_mw2_4,3. Sine Wave,replicas
1776975315.122,11,round_b_mw2_4,3. Sine Wave,replicas
1776975330.122,11,round_b_mw2_4,3. Sine Wave,replicas
1776975345.122,11,round_b_mw2_4,3. Sine Wave,replicas
1776975360.122,14,round_b_mw2_4,3. Sine Wave,replicas
1776975375.122,14,round_b_mw2_4,3. Sine Wave,replicas
1776975390.122,14,round_b_mw2_4,3. Sine Wave,replicas
1776975405.122,14,round_b_mw2_4,3. Sine Wave,replicas
1776975420.122,14,round_b_mw2_4,3. Sine Wave,replicas
1776975435.122,14,round_b_mw2_4,3. Sine Wave,replicas
1776975450.122,15,round_b_mw2_4,3. Sine Wave,replicas
1776975465.122,15,round_b_mw2_4,3. Sine Wave,replicas
1776975480.122,15,round_b_mw2_4,3. Sine Wave,replicas
1776975495.122,15,round_b_mw2_4,3. Sine Wave,replicas
1776975510.122,15,round_b_mw2_4,3. Sine Wave,replicas
1776975525.122,15,round_b_mw2_4,3. Sine Wave,replicas
1776975540.122,15,round_b_mw2_4,3. Sine Wave,replicas
1776975555.122,15,round_b_mw2_4,3. Sine Wave,replicas
1776975570.122,15,round_b_mw2_4,3. Sine Wave,replicas
1776975585.122,15,round_b_mw2_4,3. Sine Wave,replicas
1776975600.122,15,round_b_mw2_4,3. Sine Wave,replicas
1776975615.122,15,round_b_mw2_4,3. Sine Wave,replicas
1776975630.122,15,round_b_mw2_4,3. Sine Wave,replicas
1776975645.122,15,round_b_mw2_4,3. Sine Wave,replicas
1776975660.122,15,round_b_mw2_4,3. Sine Wave,replicas
1776975675.122,15,round_b_mw2_4,3. Sine Wave,replicas
1776975690.122,15,round_b_mw2_4,3. Sine Wave,replicas
1776975705.122,15,round_b_mw2_4,3. Sine Wave,replicas
1776975720.122,15,round_b_mw2_4,3. Sine Wave,replicas
