ts,value,round,scenario,metric
1776975990.122,0.0023563469675035,round_b_mw2_4,4. Multi Spike,cpu_util
1776976005.122,0.4420089199700744,round_b_mw2_4,4. Multi Spike,cpu_util
1776976020.122,0.955733764496016,round_b_mw2_4,4. Multi Spike,cpu_util
1776976035.122,0.9587729594495598,round_b_mw2_4,4. Multi Spike,cpu_util
1776976050.122,0.9583997991800346,round_b_mw2_4,4. Multi Spike,cpu_util
1776976065.122,0.9803288259736804,round_b_mw2_4,4. Multi Spike,cpu_util
1776976080.122,0.4997890143736984,round_b_mw2_4,4. Multi Spike,cpu_util
1776976095.122,0.4846831546715963,round_b_mw2_4,4. Multi Spike,cpu_util
1776976110.122,0.2417258209801955,round_b_mw2_4,4. Multi Spike,cpu_util
1776976125.122,0.1725518181086595,round_b_mw2_4,4. Multi Spike,cpu_util
1776976140.122,0.3215783919809271,round_b_mw2_4,4. Multi Spike,cpu_util
1776976155.122,0.5511603300695431,round_b_mw2_4,4. Multi Spike,cpu_util
1776976170.122,0.667004362132403,round_b_mw2_4,4. Multi Spike,cpu_util
1776976185.122,0.3544713664876342,round_b_mw2_4,4. Multi Spike,cpu_util
1776976200.122,0.0900368245510434,round_b_mw2_4,4. Multi Spike,cpu_util
1776976215.122,0.0935310287016697,round_b_mw2_4,4. Multi Spike,cpu_util
1776976230.122,0.2831032874912583,round_b_mw2_4,4. Multi Spike,cpu_util
1776976245.122,0.7625086347504526,round_b_mw2_4,4. Multi Spike,cpu_util
1776976260.122,0.5232857997134662,round_b_mw2_4,4. Multi Spike,cpu_util
1776976275.122,0.1537365938391805,round_b_mw2_4,4. Multi Spike,cpu_util
1776976290.122,0.0889327764375252,round_b_mw2_4,4. Multi Spike,cpu_util
1776976305.122,0.1062456779946284,round_b_mw2_4,4. Multi Spike,cpu_util
1776976320.122,0.1186834871758225,round_b_mw2_4,4. Multi Spike,cpu_util
1776976335.122,0.3222147480846553,round_b_mw2_4,4. Multi Spike,cpu_util
1776976350.122,0.9025525696652014,round_b_mw2_4,4. Multi Spike,cpu_util
1776976365.122,0.5684601156353237,round_b_mw2_4,4. Multi Spike,cpu_util
1776976380.122,0.1553251965302649,round_b_mw2_4,4. Multi Spike,cpu_util
1776976395.122,0.1587479288187966,round_b_mw2_4,4. Multi Spike,cpu_util
1776976410.122,0.2719248466620566,round_b_mw2_4,4. Multi Spike,cpu_util
1776976425.122,0.8208272381661756,round_b_mw2_4,4. Multi Spike,cpu_util
1776976440.122,0.1661408867757215,round_b_mw2_4,4. Multi Spike,cpu_util
1776976455.122,0.0358997471384279,round_b_mw2_4,4. Multi Spike,cpu_util
1776976470.122,0.0333269168211902,round_b_mw2_4,4. Multi Spike,cpu_util
1776976485.122,0.1610675446872659,round_b_mw2_4,4. Multi Spike,cpu_util
1776976500.122,0.6553178910903865,round_b_mw2_4,4. Multi Spike,cpu_util
1776976515.122,0.6535417917193298,round_b_mw2_4,4. Multi Spike,cpu_util
1776976530.122,0.1223000144540715,round_b_mw2_4,4. Multi Spike,cpu_util
1776976545.122,0.119079595337722,round_b_mw2_4,4. Multi Spike,cpu_util
1776976560.122,0.2565114784735282,round_b_mw2_4,4. Multi Spike,cpu_util
1776976575.122,0.7016237577732064,round_b_mw2_4,4. Multi Spike,cpu_util
1776976590.122,0.3637150405932455,round_b_mw2_4,4. Multi Spike,cpu_util
1776976605.122,0.0597304909672334,round_b_mw2_4,4. Multi Spike,cpu_util
1776976620.122,0.0018742894194526,round_b_mw2_4,4. Multi Spike,cpu_util
