ts,value,round,scenario,metric
1776977760.122,1,round_b_mw2_4,6. Quiet + Burst,replicas
1776977775.122,1,round_b_mw2_4,6. Quiet + Burst,replicas
1776977790.122,1,round_b_mw2_4,6. Quiet + Burst,replicas
1776977805.122,1,round_b_mw2_4,6. Quiet + Burst,replicas
1776977820.122,1,round_b_mw2_4,6. Quiet + Burst,replicas
1776977835.122,1,round_b_mw2_4,6. Quiet + Burst,replicas
1776977850.122,1,round_b_mw2_4,6. Quiet + Burst,replicas
1776977865.122,1,round_b_mw2_4,6. Quiet + Burst,replicas
1776977880.122,1,round_b_mw2_4,6. Quiet + Burst,replicas
1776977895.122,1,round_b_mw2_4,6. Quiet + Burst,replicas
1776977910.122,1,round_b_mw2_4,6. Quiet + Burst,replicas
1776977925.122,1,round_b_mw2_4,6. Quiet + Burst,replicas
1776977940.122,1,round_b_mw2_4,6. Quiet + Burst,replicas
1776977955.122,1,round_b_mw2_4,6. Quiet + Burst,replicas
1776977970.122,1,round_b_mw2_4,6. Quiet + Burst,replicas
1776977985.122,1,round_b_mw2_4,6. Quiet + Burst,replicas
1776978000.122,1,round_b_mw2_4,6. Quiet + Burst,replicas
1776978015.122,1,round_b_mw2_4,6. Quiet + Burst,replicas
1776978030.122,2,round_b_mw2_4,6. Quiet + Burst,replicas
1776978045.122,2,round_b_mw2_4,6. Quiet + Burst,replicas
1776978060.122,2,round_b_mw2_4,6. Quiet + Burst,replicas
1776978075.122,2,round_b_mw2_4,6. Quiet + Burst,replicas
1776978090.122,1,round_b_mw2_4,6. Quiet + Burst,replicas
1776978105.122,1,round_b_mw2_4,6. Quiet + Burst,replicas
1776978120.122,1,round_b_mw2_4,6. Quiet + Burst,replicas
1776978135.122,1,round_b_mw2_4,6. Quiet + Burst,replicas
1776978150.122,1,round_b_mw2_4,6. Quiet + Burst,replicas
1776978165.122,1,round_b_mw2_4,6. Quiet + Burst,replicas
1776978180.122,2,round_b_mw2_4,6. Quiet + Burst,replicas
1776978195.122,2,round_b_mw2_4,6. Quiet + Burst,replicas
1776978210.122,3,round_b_mw2_4,6. Quiet + Burst,replicas
1776978225.122,3,round_b_mw2_4,6. Quiet + Burst,replicas
1776978240.122,2,round_b_mw2_4,6. Quiet + Burst,replicas
1776978255.122,2,round_b_mw2_4,6. Quiet + Burst,replicas
1776978270.122,1,round_b_mw2_4,6. Quiet + Burst,replicas
1776978285.122,1,round_b_mw2_4,6. Quiet + Burst,replicas
1776978300.122,1,round_b_mw2_4,6. Quiet + Burst,replicas
1776978315.122,1,round_b_mw2_4,6. Quiet + Burst,replicas
1776978330.122,2,round_b_mw2_4,6. Quiet + Burst,replicas
1776978345.122,2,round_b_mw2_4,6. Quiet + Burst,replicas
1776978360.122,3,round_b_mw2_4,6. Quiet + Burst,replicas
1776978375.122,3,round_b_mw2_4,6. Quiet + Burst,replicas
1776978390.122,2,round_b_mw2_4,6. Quiet + Burst,replicas
1776978405.122,2,round_b_mw2_4,6. Quiet + Burst,replicas
1776978420.122,1,round_b_mw2_4,6. Quiet + Burst,replicas
