"id","ts","target_ts","resource","input_value","predicted_value","actual_value","horizon_seconds","model_version"
1,"2026-03-06 16:51:20.155848+00","2026-03-06 16:52:20.155848+00","cpu","0.2156917304442897","0.21659442782402039","0.21910075885328734",60,"v20260306-164606-2486"
2,"2026-03-06 16:51:20.214609+00","2026-03-06 16:52:20.214609+00","ram","70.0859375","72.26268005371094","71.96484375",60,"v20260306-164606-2486"
3,"2026-03-06 16:51:20.239225+00","2026-03-06 16:52:20.239225+00","rps","2139.52","2159.550537109375","2282.08",60,"v20260306-164606-2486"
4,"2026-03-06 16:51:35.006147+00","2026-03-06 16:52:35.006147+00","cpu","0.12772837500000092","0.21982869505882263","0.21446325961814067",60,"v20260306-164606-2486"
5,"2026-03-06 16:51:35.025183+00","2026-03-06 16:52:35.025183+00","ram","70.0859375","71.13372802734375","70.04296875",60,"v20260306-164606-2486"
6,"2026-03-06 16:51:35.044258+00","2026-03-06 16:52:35.044258+00","rps","2297.52","2157.386962890625","2260.86",60,"v20260306-164606-2486"
7,"2026-03-06 16:51:50.029978+00","2026-03-06 16:52:50.029978+00","cpu","0.21982339411861349","0.2235824018716812","0.21674276025939332",60,"v20260306-164606-2486"
8,"2026-03-06 16:51:50.048528+00","2026-03-06 16:52:50.048528+00","ram","71.515625","71.01211547851562","71.0078125",60,"v20260306-164606-2486"
9,"2026-03-06 16:51:50.074467+00","2026-03-06 16:52:50.074467+00","rps","2288.66","2182.72119140625","2260.94",60,"v20260306-164606-2486"
10,"2026-03-06 16:52:05.026187+00","2026-03-06 16:53:05.026187+00","cpu","0.21978333828964627","0.22428585588932037","0.21776393512288472",60,"v20260306-164606-2486"
11,"2026-03-06 16:52:05.045528+00","2026-03-06 16:53:05.045528+00","ram","71.4609375","71.0475082397461","71.2265625",60,"v20260306-164606-2486"
12,"2026-03-06 16:52:05.065699+00","2026-03-06 16:53:05.065699+00","rps","2276.04","2203.453857421875","2255.46",60,"v20260306-164606-2486"
13,"2026-03-06 16:52:20.037229+00","2026-03-06 16:53:20.037229+00","cpu","0.21910075885328734","0.22436462342739105","0.21830014227963593",60,"v20260306-164606-2486"
14,"2026-03-06 16:52:20.058032+00","2026-03-06 16:53:20.058032+00","ram","71.96484375","71.1341323852539","71.2421875",60,"v20260306-164606-2486"
15,"2026-03-06 16:52:20.075483+00","2026-03-06 16:53:20.075483+00","rps","2282.08","2220.146728515625","2256.06",60,"v20260306-164606-2486"
16,"2026-03-06 16:52:35.043324+00","2026-03-06 16:53:35.043324+00","cpu","0.21446325961814067","0.2265148162841797","0.21656578536715804",60,"v20260306-164606-2486"
17,"2026-03-06 16:52:35.067109+00","2026-03-06 16:53:35.067109+00","ram","70.04296875","70.79878234863281","71.4921875",60,"v20260306-164606-2486"
18,"2026-03-06 16:52:35.089167+00","2026-03-06 16:53:35.089167+00","rps","2260.86","2232.3408203125","2220.08",60,"v20260306-164606-2486"
19,"2026-03-06 16:52:50.041264+00","2026-03-06 16:53:50.041264+00","cpu","0.21674276025939332","0.2275109887123108","0.21782712522596895",60,"v20260306-164606-2486"
20,"2026-03-06 16:52:50.060155+00","2026-03-06 16:53:50.060155+00","ram","71.0078125","70.65665435791016","70.31640625",60,"v20260306-164606-2486"
21,"2026-03-06 16:52:50.080725+00","2026-03-06 16:53:50.080725+00","rps","2260.94","2237.760986328125","2236.3",60,"v20260306-164606-2486"
22,"2026-03-06 16:53:05.064251+00","2026-03-06 16:54:05.064251+00","cpu","0.21776393512288472","0.22782321274280548","0.16649949202865263",60,"v20260306-164606-2486"
23,"2026-03-06 16:53:05.085637+00","2026-03-06 16:54:05.085637+00","ram","71.2265625","70.61902618408203","70.31640625",60,"v20260306-164606-2486"
24,"2026-03-06 16:53:05.103628+00","2026-03-06 16:54:05.103628+00","rps","2255.46","2238.280517578125","2274.88",60,"v20260306-164606-2486"
25,"2026-03-06 16:53:20.070687+00","2026-03-06 16:54:20.070687+00","cpu","0.21830014227963593","0.22945639491081238","0.2211551743068905",60,"v20260306-164606-2486"
26,"2026-03-06 16:53:20.093595+00","2026-03-06 16:54:20.093595+00","ram","71.2421875","70.32746887207031","70.546875",60,"v20260306-164606-2486"
27,"2026-03-06 16:53:20.117271+00","2026-03-06 16:54:20.117271+00","rps","2256.06","2235.512451171875","2306.34",60,"v20260306-164606-2486"
28,"2026-03-06 16:53:35.027588+00","2026-03-06 16:54:35.027588+00","cpu","0.21656578536715804","0.2297934591770172","0.21840998640398757",60,"v20260306-164606-2486"
29,"2026-03-06 16:53:35.04858+00","2026-03-06 16:54:35.04858+00","ram","71.4921875","70.2599105834961","70.71875",60,"v20260306-164606-2486"
30,"2026-03-06 16:53:35.078312+00","2026-03-06 16:54:35.078312+00","rps","2220.08","2229.140869140625","2265.52",60,"v20260306-164606-2486"
31,"2026-03-06 16:53:50.021558+00","2026-03-06 16:54:50.021558+00","cpu","0.21782712522596895","0.23083041608333588","0.21601696776386278",60,"v20260306-164606-2486"
32,"2026-03-06 16:53:50.053274+00","2026-03-06 16:54:50.053274+00","ram","70.31640625","70.0866470336914","71.16015625",60,"v20260306-164606-2486"
33,"2026-03-06 16:53:50.072331+00","2026-03-06 16:54:50.072331+00","rps","2236.3","2225.2783203125","2232.36",60,"v20260306-164606-2486"
34,"2026-03-06 16:54:05.036206+00","2026-03-06 16:55:05.036206+00","cpu","0.16649949202865263","0.22978009283542633","0.21404277767621688",60,"v20260306-164606-2486"
35,"2026-03-06 16:54:05.056651+00","2026-03-06 16:55:05.056651+00","ram","70.31640625","70.027587890625","70.82421875",60,"v20260306-164606-2486"
36,"2026-03-06 16:54:05.077904+00","2026-03-06 16:55:05.077904+00","rps","2274.88","2213.44580078125","2159.08",60,"v20260306-164606-2486"
37,"2026-03-06 16:54:20.01955+00","2026-03-06 16:55:20.01955+00","cpu","0.2211551743068905","0.23024892807006836","0.17948247139166462",60,"v20260306-164606-2486"
38,"2026-03-06 16:54:20.040069+00","2026-03-06 16:55:20.040069+00","ram","70.546875","70.16719055175781","71.08984375",60,"v20260306-164606-2486"
39,"2026-03-06 16:54:20.062202+00","2026-03-06 16:55:20.062202+00","rps","2306.34","2222.54052734375","2080.2200000000003",60,"v20260306-164606-2486"
40,"2026-03-06 16:54:35.023456+00","2026-03-06 16:55:35.023456+00","cpu","0.21840998640398757","0.23020419478416443","0.21674855873042675",60,"v20260306-164606-2486"
41,"2026-03-06 16:54:35.049397+00","2026-03-06 16:55:35.049397+00","ram","70.71875","70.21803283691406","72.10546875",60,"v20260306-164606-2486"
42,"2026-03-06 16:54:35.07102+00","2026-03-06 16:55:35.07102+00","rps","2265.52","2226.784912109375","2116.4",60,"v20260306-164606-2486"
43,"2026-03-06 16:54:50.012368+00","2026-03-06 16:55:50.012368+00","cpu","0.21601696776386278","0.2295612096786499","0.2186767404555669",60,"v20260306-164606-2486"
44,"2026-03-06 16:54:50.034758+00","2026-03-06 16:55:50.034758+00","ram","71.16015625","70.32703399658203","71.1328125",60,"v20260306-164606-2486"
