,id,ts,target_ts,resource,input_value,predicted_value,actual_value,horizon_seconds,model_version
2848,2977,2026-03-06 22:00:07.089407+00:00,2026-03-06 22:01:07.089407+00,cpu,0.0005219975639467,0.0450704805552959,0.0002819582214727,60,v20260306-_tuned_20260306-181039-0246
2849,2978,2026-03-06 22:00:07.132458+00:00,2026-03-06 22:01:07.132458+00,ram,28.12109375,47.99089813232422,28.12109375,60,v20260306-_tuned_20260306-181039-0246
2850,2979,2026-03-06 22:00:07.192166+00:00,2026-03-06 22:01:07.192166+00,rps,0.1,508.3980102539063,0.1000020000400008,60,v20260306-_tuned_20260306-181039-0246
2851,2980,2026-03-06 22:00:22.070698+00:00,2026-03-06 22:01:22.070698+00,cpu,0.0004015854197213,0.0450735948979854,0.0002924616902721,60,v20260306-_tuned_20260306-181039-0246
2852,2981,2026-03-06 22:00:22.150213+00:00,2026-03-06 22:01:22.150213+00,ram,28.12109375,47.99079132080078,28.12109375,60,v20260306-_tuned_20260306-181039-0246
2853,2982,2026-03-06 22:00:22.199854+00:00,2026-03-06 22:01:22.199854+00,rps,0.1,508.4180908203125,0.1,60,v20260306-_tuned_20260306-181039-0246
2854,2983,2026-03-06 22:00:37.101069+00:00,2026-03-06 22:01:37.101069+00,cpu,0.0005068221405091,0.0453427843749523,0.0006375319890966,60,v20260306-_tuned_20260306-181039-0246
2855,2984,2026-03-06 22:00:37.148073+00:00,2026-03-06 22:01:37.148073+00,ram,28.3671875,48.00606918334961,28.12109375,60,v20260306-_tuned_20260306-181039-0246
2856,2985,2026-03-06 22:00:37.200879+00:00,2026-03-06 22:01:37.200879+00,rps,0.1,509.1763305664063,0.1000020000400008,60,v20260306-_tuned_20260306-181039-0246
2857,2986,2026-03-06 22:00:52.137510+00:00,2026-03-06 22:01:52.13751+00,cpu,0.0003414588914003,0.0451392941176891,0.0005922410022888,60,v20260306-_tuned_20260306-181039-0246
2858,2987,2026-03-06 22:00:52.185421+00:00,2026-03-06 22:01:52.185421+00,ram,28.12109375,47.99678802490234,28.12109375,60,v20260306-_tuned_20260306-181039-0246
2859,2988,2026-03-06 22:00:52.231741+00:00,2026-03-06 22:01:52.231741+00,rps,0.0999980000399992,508.5827026367188,0.1,60,v20260306-_tuned_20260306-181039-0246
2860,2989,2026-03-06 22:01:07.114310+00:00,2026-03-06 22:02:07.11431+00,cpu,0.0002819582214727,0.0451251231133937,0.0004227296181516,60,v20260306-_tuned_20260306-181039-0246
2861,2990,2026-03-06 22:01:07.163116+00:00,2026-03-06 22:02:07.163116+00,ram,28.12109375,47.99562072753906,28.12109375,60,v20260306-_tuned_20260306-181039-0246
2862,2991,2026-03-06 22:01:07.205399+00:00,2026-03-06 22:02:07.205399+00,rps,0.1000020000400008,508.511474609375,0.1,60,v20260306-_tuned_20260306-181039-0246
2863,2992,2026-03-06 22:01:22.105495+00:00,2026-03-06 22:02:22.105495+00,cpu,0.0002924616902721,0.0451165847480297,0.0003135999999926,60,v20260306-_tuned_20260306-181039-0246
2864,2993,2026-03-06 22:01:22.155817+00:00,2026-03-06 22:02:22.155817+00,ram,28.12109375,47.994930267333984,28.12109375,60,v20260306-_tuned_20260306-181039-0246
2865,2994,2026-03-06 22:01:22.198596+00:00,2026-03-06 22:02:22.198596+00,rps,0.1,508.49224853515625,0.1,60,v20260306-_tuned_20260306-181039-0246
2867,2995,2026-03-06 22:01:37.066771+00:00,2026-03-06 22:02:37.066771+00,cpu,0.0006375319890966,0.0450945161283016,0.0003852646890259,60,v20260306-_tuned_20260306-181039-0246
2868,2996,2026-03-06 22:01:37.109239+00:00,2026-03-06 22:02:37.109239+00,ram,28.12109375,47.9937629699707,28.12109375,60,v20260306-_tuned_20260306-181039-0246
2869,2997,2026-03-06 22:01:37.154548+00:00,2026-03-06 22:02:37.154548+00,rps,0.1000020000400008,508.37408447265625,0.1,60,v20260306-_tuned_20260306-181039-0246
2870,2998,2026-03-06 22:01:52.127772+00:00,2026-03-06 22:02:52.127772+00,cpu,0.0005922410022888,0.0450811944901943,0.0003612620558195,60,v20260306-_tuned_20260306-181039-0246
2871,2999,2026-03-06 22:01:52.178304+00:00,2026-03-06 22:02:52.178304+00,ram,28.12109375,47.992469787597656,28.125,60,v20260306-_tuned_20260306-181039-0246
2872,3000,2026-03-06 22:01:52.224109+00:00,2026-03-06 22:02:52.224109+00,rps,0.1,508.343505859375,0.1,60,v20260306-_tuned_20260306-181039-0246
2873,3001,2026-03-06 22:02:07.049830+00:00,2026-03-06 22:03:07.04983+00,cpu,0.0004227296181516,0.0450793169438838,0.0003283529289416,60,v20260306-_tuned_20260306-181039-0246
2874,3002,2026-03-06 22:02:07.093619+00:00,2026-03-06 22:03:07.093619+00,ram,28.12109375,47.9918212890625,28.125,60,v20260306-_tuned_20260306-181039-0246
2875,3003,2026-03-06 22:02:07.143309+00:00,2026-03-06 22:03:07.143309+00,rps,0.1,508.3717651367188,0.1,60,v20260306-_tuned_20260306-181039-0246
3010,3004,2026-03-06 22:02:22.064628+00:00,2026-03-06 22:03:22.064628+00,cpu,0.0003135999999926,0.0450828187167644,0.0003773379819533,60,v20260306-_tuned_20260306-181039-0246
2876,3005,2026-03-06 22:02:22.099062+00:00,2026-03-06 22:03:22.099062+00,ram,28.12109375,47.99184799194336,28.125,60,v20260306-_tuned_20260306-181039-0246
2877,3006,2026-03-06 22:02:22.137825+00:00,2026-03-06 22:03:22.137825+00,rps,0.1,508.41400146484375,0.1,60,v20260306-_tuned_20260306-181039-0246
2878,3007,2026-03-06 22:02:37.120202+00:00,2026-03-06 22:03:37.120202+00,cpu,0.0003852646890259,0.0450810305774211,0.0004577346717909,60,v20260306-_tuned_20260306-181039-0246
2879,3008,2026-03-06 22:02:37.166277+00:00,2026-03-06 22:03:37.166277+00,ram,28.12109375,47.991981506347656,28.125,60,v20260306-_tuned_20260306-181039-0246
2880,3009,2026-03-06 22:02:37.235224+00:00,2026-03-06 22:03:37.235224+00,rps,0.1,508.4136352539063,0.1,60,v20260306-_tuned_20260306-181039-0246
2881,3010,2026-03-06 22:02:52.078223+00:00,2026-03-06 22:03:52.078223+00,cpu,0.0003612620558195,0.0450843535363674,0.0004442641442213,60,v20260306-_tuned_20260306-181039-0246
