"id","ts","target_ts","resource","input_value","predicted_value","actual_value","horizon_seconds","model_version"
199,"2026-02-28 12:44:03.548456+00","2026-02-28 12:45:03.547999+00","cpu","0.49817023747335126","0.6500197052955627","0.49945070631970256",60,"v0.0.0_placeholder"
200,"2026-02-28 12:44:03.574131+00","2026-02-28 12:45:03.573709+00","ram","59.47265625","0.4380854368209839","58.65625",60,"v0.0.0_placeholder"
201,"2026-02-28 12:44:03.596561+00","2026-02-28 12:45:03.596084+00","rps","0","0.5876202583312988","0",60,"v0.0.0_placeholder"
202,"2026-02-28 12:44:18.559643+00","2026-02-28 12:45:18.559186+00","cpu","0.47621948507700146","0.6501479744911194","0.4994904415477959",60,"v0.0.0_placeholder"
203,"2026-02-28 12:44:18.582201+00","2026-02-28 12:45:18.581826+00","ram","59.47265625","0.4383002519607544","60.8515625",60,"v0.0.0_placeholder"
204,"2026-02-28 12:44:18.604351+00","2026-02-28 12:45:18.603953+00","rps","0","0.5877285003662109","0",60,"v0.0.0_placeholder"
205,"2026-02-28 12:44:33.542357+00","2026-02-28 12:45:33.541996+00","cpu","0.49948567945735606","0.6499724388122559","0.49943205014558073",60,"v0.0.0_placeholder"
206,"2026-02-28 12:44:33.564859+00","2026-02-28 12:45:33.564396+00","ram","59.89453125","0.43791940808296204","61.22265625",60,"v0.0.0_placeholder"
207,"2026-02-28 12:44:33.593489+00","2026-02-28 12:45:33.593091+00","rps","0","0.58710116147995","0",60,"v0.0.0_placeholder"
208,"2026-02-28 12:44:48.559026+00","2026-02-28 12:45:48.558513+00","cpu","0.47674947943797635","0.650100827217102","0.4994149480550518",60,"v0.0.0_placeholder"
209,"2026-02-28 12:44:48.584452+00","2026-02-28 12:45:48.584086+00","ram","59.89453125","0.43816259503364563","59.08984375",60,"v0.0.0_placeholder"
210,"2026-02-28 12:44:48.606448+00","2026-02-28 12:45:48.60605+00","rps","0","0.5872101187705994","0",60,"v0.0.0_placeholder"
211,"2026-02-28 12:45:03.563877+00","2026-02-28 12:46:03.563388+00","cpu","0.4994501741041121","0.6498643755912781","0.4994877021539673",60,"v0.0.0_placeholder"
212,"2026-02-28 12:45:03.592918+00","2026-02-28 12:46:03.59249+00","ram","60.9765625","0.43755826354026794","59.08203125",60,"v0.0.0_placeholder"
213,"2026-02-28 12:45:03.615622+00","2026-02-28 12:46:03.615147+00","rps","0","0.5857787132263184","0",60,"v0.0.0_placeholder"
214,"2026-02-28 12:45:18.558284+00","2026-02-28 12:46:18.55777+00","cpu","0.49945070631970256","0.6501449346542358","0.49952060466954573",60,"v0.0.0_placeholder"
215,"2026-02-28 12:45:18.582244+00","2026-02-28 12:46:18.581835+00","ram","58.65625","0.43839147686958313","59.78125",60,"v0.0.0_placeholder"
216,"2026-02-28 12:45:18.610075+00","2026-02-28 12:46:18.609483+00","rps","0","0.5886827707290649","0",60,"v0.0.0_placeholder"
217,"2026-02-28 12:45:33.550019+00","2026-02-28 12:46:33.549518+00","cpu","0.4994904415477959","0.6498631238937378","0.4994454544492162",60,"v0.0.0_placeholder"
218,"2026-02-28 12:45:33.575474+00","2026-02-28 12:46:33.574972+00","ram","60.8515625","0.43755921721458435","60.82421875",60,"v0.0.0_placeholder"
219,"2026-02-28 12:45:33.601437+00","2026-02-28 12:46:33.600928+00","rps","0","0.5859013199806213","0",60,"v0.0.0_placeholder"
220,"2026-02-28 12:45:48.538292+00","2026-02-28 12:46:48.537917+00","cpu","0.49943205014558073","0.6498621702194214","0.4994797538834847",60,"v0.0.0_placeholder"
221,"2026-02-28 12:45:48.560199+00","2026-02-28 12:46:48.55986+00","ram","61.22265625","0.4374965727329254","60.5234375",60,"v0.0.0_placeholder"
222,"2026-02-28 12:45:48.580559+00","2026-02-28 12:46:48.580081+00","rps","0","0.5855046510696411","0",60,"v0.0.0_placeholder"
223,"2026-02-28 12:46:03.582143+00","2026-02-28 12:47:03.581643+00","cpu","0.4994149480550518","0.6501007676124573","0.49946096719657984",60,"v0.0.0_placeholder"
224,"2026-02-28 12:46:03.605703+00","2026-02-28 12:47:03.605292+00","ram","59.08984375","0.4382449686527252","63.421875",60,"v0.0.0_placeholder"
225,"2026-02-28 12:46:03.626778+00","2026-02-28 12:47:03.626301+00","rps","0","0.5881518721580505","0",60,"v0.0.0_placeholder"
226,"2026-02-28 12:46:18.549138+00","2026-02-28 12:47:18.548672+00","cpu","0.4994877021539673","0.6500714421272278","0.46161547880142595",60,"v0.0.0_placeholder"
227,"2026-02-28 12:46:18.571821+00","2026-02-28 12:47:18.571276+00","ram","59.08203125","0.43818023800849915","41.3046875",60,"v0.0.0_placeholder"
228,"2026-02-28 12:46:18.596519+00","2026-02-28 12:47:18.596125+00","rps","0","0.5881089568138123","0",60,"v0.0.0_placeholder"
229,"2026-02-28 12:46:33.546126+00","2026-02-28 12:47:33.545654+00","cpu","0.49952060466954573","0.6499914526939392","0.4367298591014905",60,"v0.0.0_placeholder"
230,"2026-02-28 12:46:33.581447+00","2026-02-28 12:47:33.581052+00","ram","59.78125","0.4379372298717499","41.3046875",60,"v0.0.0_placeholder"
231,"2026-02-28 12:46:33.603752+00","2026-02-28 12:47:33.603208+00","rps","0","0.5872389078140259","0.03818833333333334",60,"v0.0.0_placeholder"
232,"2026-02-28 12:46:48.549004+00","2026-02-28 12:47:48.548542+00","cpu","0.4994454544492162","0.6498879790306091","0.41193919862590245",60,"v0.0.0_placeholder"
233,"2026-02-28 12:46:48.572567+00","2026-02-28 12:47:48.572072+00","ram","60.82421875","0.4376005530357361","42.93359375",60,"v0.0.0_placeholder"
